Japanese,English
こんにちは,Hello
ありがとう,thank you
はい,yes
いいえ,no
おはよう,good morning
こんばんは,Good evening
さようなら,Goodbye
すみません,sorry
お願い,please
お名前,name
どうぞ,please
おはし,chopsticks
お水,Water
たべもの,Dedicated
のみもの,Only
いぬ,Dust
ねこ,cat
ほん,book
でんわ,phone
とけい,clock
がっこう,school
せんせい,teacher
がくせい,Romance
いえ,home
まち,town
まち,town
くに,Trick
あめ,candy
てんき,weather
にほん,Japan
あめりか,Amirika
ちゅうごく,China
たべる,Eat
のむ,Be
みる,View
きく,listen
いく,go
くる,come
する,do
かう,buy
うる,sell
よむ,Rely on
かく,write
いう,say
きこえる,Be lazy
およぐ,swim
はしる,Brush
あるく,Be
ねる,Slap
おきる,Take place
あう,match
まつ,pine tree
べんきょうする,Study
わらう,Be
なく,With no
かんがえる,Think of
わすれる,forget
しる,Shift
わかる,Recognize
ならう,Nic
おしえる,Tay
あそぶ,Play
おもう,I
つくる,to make
なおす,fix
きかせる,Click
みせる,Show
かす,Lend
かりる,Rustle
しめる,Close
あける,Open
うんてんする,driving
のる,Be on
ふる,Sashimi
つづける,Keep up
やめる,stop
まちあわせる,Communicate
てつだう,Tan
えがお,Egao
おこる,Occur
よろこぶ,Boring
かなしい,Frank
おどろく,Surprisingly
こいする,Blunt
けっこんする,Get married
りこんする,Be
うまれる,Be born
しぬ,Outrageous
あたたかい,warm
さむい,cold
たかい,high
やすい,Cheap
おおきい,Big
ちいさい,small
あたらしい,new
ふるい,sieve
ながい,Dawn
みじかい,short
いそがしい,Frustrating
ひま,free time
